t	X	z11	Z	dz11	dZ	
6.99	1.2868e-17	-0.0108301	-0.0108301	-0.0306981	-0.0306981	
7	3.86623e-17	-0.0108603	-0.0108603	-0.0296753	-0.0296753	
7.01	1.7794e-17	-0.0108894	-0.0108894	-0.0286453	-0.0286453	
7.02	4.01537e-17	-0.0109176	-0.0109176	-0.0276087	-0.0276087	
7.03	1.39271e-17	-0.0109446	-0.0109446	-0.0265659	-0.0265659	
7.04	3.4884e-17	-0.0109707	-0.0109707	-0.0255171	-0.0255171	
7.05	1.77681e-17	-0.0109957	-0.0109957	-0.024463	-0.024463	
7.06	3.41227e-17	-0.0110196	-0.0110196	-0.0234039	-0.0234039	
7.07	2.64174e-17	-0.0110425	-0.0110425	-0.0223402	-0.0223402	
7.08	3.1165e-17	-0.0110643	-0.0110643	-0.0212724	-0.0212724	
7.09	2.31832e-17	-0.011085	-0.011085	-0.0202008	-0.0202008	
7.1	3.56456e-17	-0.0111047	-0.0111047	-0.0191259	-0.0191259	
7.11	1.68378e-17	-0.0111233	-0.0111233	-0.0180482	-0.0180482	
7.12	3.21749e-17	-0.0111408	-0.0111408	-0.0169681	-0.0169681	
7.13	2.55349e-17	-0.0111572	-0.0111572	-0.0158859	-0.0158859	
7.14	3.41431e-17	-0.0111725	-0.0111725	-0.0148022	-0.0148022	
7.15	2.15407e-17	-0.0111868	-0.0111868	-0.0137174	-0.0137174	
7.16	3.20922e-17	-0.0112	-0.0112	-0.0126318	-0.0126318	
7.17	2.56843e-17	-0.0112121	-0.0112121	-0.011546	-0.011546	
7.18	3.41079e-17	-0.0112231	-0.0112231	-0.0104603	-0.0104603	
7.19	2.48692e-17	-0.011233	-0.011233	-0.00937531	-0.00937531	
7.2	3.3208e-17	-0.0112418	-0.0112418	-0.00829131	-0.00829131	
7.21	2.04652e-17	-0.0112496	-0.0112496	-0.00720878	-0.00720878	
7.22	3.47934e-17	-0.0112562	-0.0112562	-0.00612815	-0.00612815	
7.23	2.57774e-17	-0.0112618	-0.0112618	-0.00504986	-0.00504986	
7.24	3.42716e-17	-0.0112663	-0.0112663	-0.00397434	-0.00397434	
7.25	2.47758e-17	-0.0112698	-0.0112698	-0.00290202	-0.00290202	
7.26	3.00813e-17	-0.0112722	-0.0112722	-0.00183332	-0.00183332	
7.27	2.12398e-17	-0.0112735	-0.0112735	-0.000768682	-0.000768682	
7.28	3.06328e-17	-0.0112737	-0.0112737	0.000291479	0.000291479	
7.29	2.0557e-17	-0.0112729	-0.0112729	0.00134674	0.00134674	
7.3	3.17265e-17	-0.011271	-0.011271	0.00239667	0.00239667	
7.31	2.24786e-17	-0.0112681	-0.0112681	0.00344085	0.00344085	
7.32	2.5937e-17	-0.0112641	-0.0112641	0.00447887	0.00447887	
7.33	2.51236e-17	-0.0112591	-0.0112591	0.00551031	0.00551031	
7.34	3.00251e-17	-0.0112531	-0.0112531	0.00653476	0.00653476	
7.35	1.7771e-17	-0.0112461	-0.0112461	0.00755181	0.00755181	
7.36	2.93493e-17	-0.011238	-0.011238	0.00856104	0.00856104	
7.37	2.56132e-17	-0.0112289	-0.0112289	0.00956207	0.00956207	
7.38	2.95955e-17	-0.0112189	-0.0112189	0.0105545	0.0105545	
7.39	2.14658e-17	-0.0112078	-0.0112078	0.0115379	0.0115379	
7.4	2.7944e-17	-0.0111958	-0.0111958	0.0125119	0.0125119	
7.41	2.29418e-17	-0.0111828	-0.0111828	0.0134761	0.0134761	
7.42	3.12643e-17	-0.0111689	-0.0111689	0.0144301	0.0144301	
7.43	1.67963e-17	-0.011154	-0.011154	0.0153736	0.0153736	
7.44	3.32456e-17	-0.0111381	-0.0111381	0.0163061	0.0163061	
7.45	1.84576e-17	-0.0111214	-0.0111214	0.0172274	0.0172274	
7.46	2.77691e-17	-0.0111037	-0.0111037	0.0181369	0.0181369	
7.47	2.12399e-17	-0.0110851	-0.0110851	0.0190344	0.0190344	
7.48	3.36388e-17	-0.0110656	-0.0110656	0.0199195	0.0199195	
7.49	2.43305e-17	-0.0110453	-0.0110453	0.0207919	0.0207919	
7.5	2.96185e-17	-0.011024	-0.011024	0.0216511	0.0216511	
7.51	2.13456e-17	-0.011002	-0.011002	0.0224969	0.0224969	
7.52	3.38616e-17	-0.010979	-0.010979	0.0233289	0.0233289	
7.53	2.77103e-17	-0.0109553	-0.0109553	0.0241468	0.0241468	
7.54	2.75305e-17	-0.0109308	-0.0109308	0.0249502	0.0249502	
7.55	3.5165e-17	-0.0109054	-0.0109054	0.0257389	0.0257389	
7.56	1.01266e-17	-0.0108793	-0.0108793	0.0265125	0.0265125	
7.57	3.60003e-17	-0.0108524	-0.0108524	0.0272707	0.0272707	
7.58	1.7047e-17	-0.0108248	-0.0108248	0.0280132	0.0280132	
7.59	4.03311e-17	-0.0107964	-0.0107964	0.0287397	0.0287397	
7.6	1.84729e-17	-0.0107673	-0.0107673	0.02945	0.02945	
7.61	3.7504e-17	-0.0107375	-0.0107375	0.0301436	0.0301436	
7.62	2.04331e-17	-0.010707	-0.010707	0.0308204	0.0308204	
7.63	4.28644e-17	-0.0106759	-0.0106759	0.0314801	0.0314801	
7.64	2.0917e-17	-0.0106441	-0.0106441	0.0321225	0.0321225	
7.65	3.65524e-17	-0.0106116	-0.0106116	0.0327471	0.0327471	
7.66	1.96021e-17	-0.0105786	-0.0105786	0.0333539	0.0333539	
7.67	3.712e-17	-0.0105449	-0.0105449	0.0339426	0.0339426	
7.68	1.90759e-17	-0.0105107	-0.0105107	0.0345129	0.0345129	
7.69	3.60349e-17	-0.0104759	-0.0104759	0.0350646	0.0350646	
7.7	1.90394e-17	-0.0104406	-0.0104406	0.0355975	0.0355975	
7.71	4.33123e-17	-0.0104047	-0.0104047	0.0361114	0.0361114	
7.72	2.10511e-17	-0.0103684	-0.0103684	0.036606	0.036606	
7.73	4.09507e-17	-0.0103315	-0.0103315	0.0370813	0.0370813	
7.74	1.91536e-17	-0.0102942	-0.0102942	0.0375368	0.0375368	
7.75	3.58137e-17	-0.0102565	-0.0102565	0.0379726	0.0379726	
7.76	1.72376e-17	-0.0102183	-0.0102183	0.0383884	0.0383884	
7.77	3.74276e-17	-0.0101797	-0.0101797	0.0387841	0.0387841	
7.78	1.82967e-17	-0.0101407	-0.0101407	0.0391595	0.0391595	
7.79	3.49845e-17	-0.0101014	-0.0101014	0.0395144	0.0395144	
7.8	1.30911e-17	-0.0100617	-0.0100617	0.0398487	0.0398487	
